"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"Video.Name","character",269431,0,161,NA,NA,4267,"Boxe_EPreN3_360_Testing_N1_S18_U",NA,0.992328173682908,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Timeline","numeric",269431,0,419,1.99701917178476,1.779999,1.779999,NA,1.3808754830627,NA,0,8.360002,8.360002,0.72852920532531,77.1911560107913,0.128045244072782,6.78352839046268,NA,NA
"Head.Position..x","numeric",269431,0,17847,0.00632937004279387,-0.0229,-0.0229,NA,0.332695888926603,NA,-1.0284,1.465,2.4934,0.311916618579435,33.0490585567842,0.241449137451982,12.7913933127205,NA,NA
"Head.Position..y","numeric",269431,0,12330,1.2637299924656,1.1895,1.1895,NA,0.268562817814725,NA,0.206,1.7785,1.5725,0.233322312943945,24.7216157260471,-0.696666165442716,-36.9076941996317,NA,NA
"Head.Position..z","numeric",269431,0,18037,-0.166815812582813,-0.1344,-0.1344,NA,0.319152925964495,NA,-1.6145,0.8404,2.4549,-0.414768521492672,-43.9467099148205,0.325405213106317,17.2391838329939,NA,NA
"Head.Rotation..x","numeric",269431,0,175164,31.2495230530266,13.7984,13.7984,NA,74.9100742963586,NA,-0.0053,359.9923,359.9976,4.04532351203178,428.621386828181,14.5629125489999,771.508004372379,NA,NA
"Head.Rotation..y","numeric",269431,0,182797,106.927691322825,12.2131,12.2131,NA,155.042430505177,NA,-0.0057,359.9942,359.9999,0.971598534734392,102.945514780083,-1.04260095200954,-55.2344853500384,NA,NA
"Head.Rotation..z","numeric",269431,0,140213,243.950984304701,354.3231,354.3231,NA,162.746393117355,NA,-0.0057,359.9943,360,-0.793971404480635,-84.1250702145909,-1.36030533213013,-72.0656976135517,NA,NA
"Controller.Right.Position..x","numeric",269431,0,17188,0.080786776948458,0.0478,0.0478,NA,0.322655632267878,NA,-0.9135,1.4816,2.3951,0.304404325185857,32.2530951182511,0.190045883422707,10.0681728167562,NA,NA
"Controller.Right.Position..y","numeric",269431,0,13445,1.03746090501835,0.9712,0.9712,NA,0.294025625599306,NA,-0.6429,1.6948,2.3377,-0.434982504352379,-46.0884781419794,2.82676760652818,149.755334147551,NA,NA
"Controller.Right.Position..z","character",269431,0,19358,NA,NA,82,"-0.0214",NA,0.999898449485143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Controller.Right.Rotation..x","numeric",269431,0,221404,302.770385145362,306.1472,306.1472,NA,42.6931748090193,NA,-0.0029,359.9936,359.9965,-5.00617673855782,-530.428384777049,30.0626480932106,1592.646632911,NA,NA
"Controller.Right.Rotation..y","numeric",269431,0,237943,197.696947006469,294.118,294.118,NA,153.218063217323,NA,-0.0052,359.9942,359.9994,-0.24496021557393,-25.9547072081496,-1.83821707250732,-97.3843096593171,NA,NA
"Controller.Right.Rotation..z","numeric",269431,0,229524,192.861718436631,287.4588,287.4588,NA,157.516532653581,NA,-0.0048,359.9942,359.999,-0.119036046308644,-12.6124388073302,-1.8958156860401,-100.43574536847,NA,NA
"Controller.Left.Position..x","numeric",269431,0,17975,-0.0443525262497634,-0.0688,-0.0688,NA,0.332406087832885,NA,-1.0353,1.4133,2.4486,0.294021698070503,31.1530060846135,0.254200233169333,13.466915628559,NA,NA
"Controller.Left.Position..y","numeric",269431,0,12789,1.05634815889783,0.974,0.974,NA,0.271869632921997,NA,0.0365,1.6825,1.646,0.401518656914997,42.542823349586,-0.797343930138735,-42.2413594993407,NA,NA
"Controller.Left.Position..z","numeric",269431,0,17957,-0.0326309337084448,0.0043,0.0043,NA,0.316432844653948,NA,-1.5544,0.9048,2.4592,-0.51784909447198,-54.8685899607612,0.610769447217773,32.3570931136962,NA,NA
"Controller.Left.Rotation..x","numeric",269431,0,219331,309.165694496921,308.8537,308.8537,NA,30.5729996382304,NA,0.0007,359.9674,359.9667,-6.18084636865693,-654.890253999753,58.7825962032166,3114.16025715855,NA,NA
"Controller.Left.Rotation..y","numeric",269431,0,239181,124.368990613923,43.7957,43.7957,NA,140.225233898795,NA,-0.0055,359.9939,359.9994,0.816104262903344,86.4701524912982,-1.15663417239073,-61.2756904999305,NA,NA
